Word	Count
crowd	2
raised	2
praising	1
god	7
everywhere	4
similar	1
words	5
"trademarked"	1
design--	1
"you	2
god's	7
plan!"	4
"we	1
"be	1
part	4
"his	1
notices	14
across	12
street--	1
fiat	6
mexican	12
plates	2
headlight	2
double	3
parked	6
woman	9
watching	21
child	13
jacket	2
watches	30
too	18
clinging	3
"god's	1
plan"	1
merchandise	1
lady	5
lost	3
souls	1
street	3
shouldn't	1
lock	6
they're	11
ma'am	3
her	181
husband	1
notices--	2
quick	2
folks	1
sliding	1
f.g	1
tossing	3
trash	2
pastor	1
speaks	3
grieving	1
assemblage	1
grave	5
6	1
returning	1
bereaved	1
family	12
drawn	2
spite	1
himself:	1
how	20
mourn	1
loss	1
own	13
console	2
each	9
other--	1
twenty	5
paces	2
battered	6
wipers	1
wild-eyed	1
dirty	1
raincoat	2
whiff	2
"crazy."	1
...i	5
knew	3
was	52
heads	8
line	4
i'm	33
trouble	1
help	17
hill	1
toward	42
vehicles	13
i	203
need	33
laughs	1
pulls	40
umbrella	2
turns	48
clients	2
sobbing	1
widow	1
escorting	1
hispanic	1
there	57
soaking	1
hell	2
happened	7
hiding	5
behind	31
wheel	20
checks	3
rear	4
view	4
sudden	2
screech--	1
u-turn	2
nearly	4
sideswiping	1
swerves	3
away	35
glimpses	1
figure	3
dark-haired	1
girl	28
slicker	6
blur	2
wide	9
as--	19
spot	1
hospital	6
emergency	2
room	26
entrance	5
hurries	4
meeting	3
orderly	1
scrubs	1
smoking	5
vape	3
canopy	2
7	1
two	33
moment	20
cash	9
toys	2
handing	2
bag	10
demanding	1
money	10
argue	1
reverse	3
reveal--	3
jeep	9
metal	4
carrying	5
climbs	8
startled	1
opening	2
closing	4
smiling	2
donald	6
pierce	65
35	2
southern	1
boy	21
smooth	2
playful	1
live	8
breathe	10
junkie	1
y'know	1
buckshot	2
heard	1
phoenix	1
food's	1
better	10
way	29
night	15
friends	17
h-p	1
called	6
told	14
me	56
found	7
dead	19
cholos	1
pullout	1
54	2
unusual	1
except	3
missing	5
multiple	1
parallel	2
lacerations	1
slashes	6
femoral	1
thoracic	1
thinking	6
either	2
escaped	3
tiger	2
freddy	1
krueger	1
neither	1
drive	7
being	7
fictional	2
extinct	1
since	6
belong	2
`24	1
gauntlet--	1
has	27
she	151
...gabriela	1
mutey	5
really	8
someone	14
who's	8
8	2
took	6
mine	6
which	8
am	17
responsible	1
wasn't	6
hair	4
legs	5
gone	9
sights	1
bells	1
gabriela	17
smiles	18
unfazed	1
pills	16
peering	3
quasi-conspiratorial:	1
amigo	1
cue	2
ball	15
south	3
tenses	1
says	8
nothing	10
want	22
...cooperation	1
flicks	1
business	5
card	3
does	21
find	18
exits	6
crosses	21
custom	2
ram	2
truck	37
card:	1
transigen	4
research	4
division	1
alkali	12
huge	7
fucking	12
wall	3
leaving	4
united	2
states"	1
mounted	3
top	8
brown	2
muted	1
pushes	6
haze	1
factories	1
agitated	1
traffic	3
cameras	1
him:	1
mr	5
espiranza	1
said	15
june	1
why	10
mean	6
price	4
9	2
wanted	8
seventy	2
telling	2
45	3
bring	9
port	1
baja	1
seller	1
hangs	1
sighs	6
squints	4
seat	8
listing	1
circled	1
horn	3
blares	1
inches	2
moving	25
past--	2
semi	1
livestock	1
trailer	9
loaded	3
sad	1
horses	12
rio	1
meats	1
agent	2
nods	15
cheerfully	1
recognizing	1
waves	3
distance	10
considers	7
following	2
around	28
drives	7
littered	2
streets	1
cinderblock	1
structures	3
pocked	2
shutters	1
pulled	2
merges	1
heading	4
desert	3
vista	1
bisected	1
train	11
tracks	3
fence	5
slows	2
approaches	7
beyond	4
abandoned	1
smelting	5
plant	6
unlocks	2
cart	4
propane	1
tank	8
comes	13
camera	7
reveals	1
pushed	1
tall	2
hat	8
sunglasses	3
gloves	3
wipes	3
ghost-pale	1
passing	5
resemblance	1
edvard	1
munch's	1
scream	5
papered	1
sunlight	3
caliban	56
glasses	3
prepares	2
tray	2
enters	5
somewhere	5
sound	14
shouting	2
having	4
day	8
days	8
tosses	11
peers	9
eat	3
10	2
needed	1
these	22
six	3
hours	4
ago	6
week	3
working	2
meds	6
cabinet	3
communicating	2
follows	8
voice	3
anybody	3
details	1
thought	5
supposed	3
provide	3
sort	4
barrier	1
cracks	3
corridor	2
beside	17
vial	7
liquid	1
loads	1
syringe	5
been	20
asking	1
questions	1
trying	10
read	9
my	28
mind	1
dodges	1
blast	4
catwalk	2
round	4
pitched	2
hatch	6
inside--	2
11	1
space	2
facing	3
90s	1
bearded	1
tufts	1
white	2
pate	1
small	8
radio	4
plays	2
alligator	1
clips	1
battery	1
news	3
today	7
deeds	1
rules	1
knows	8
ok	1
imperfect	1
dumped	1
charles	124
chair	12
sir	3
path	3
new	30
quesalupa	1
taco	1
bell	2
chicken	2
steak	1
cheese	1
baked	1
shell	2
big--	1
sleep	7
could	12
both	5
use	3
proceeds	2
roll	3
charles'	14
sleeve	4
resists	1
struggle	1
needle--	1
making	8
this--	2
12	1
lunges	4
needle	2
enraged	2
ringing	10
rise	3
doing	14
tremor	1
shakes	5
psionic	2
unbearable	1
fork	1
scraping	1
brain	4
blood	20
headed	5
kitchen	4
fights	1
kind	2
induced	1
paralysis	1
struggling	7
breathe--	1
pushing	6
injects	4
medication	1
immediately	3
effect	3
subduing	1
wave	9
released	1
gulping	1
air	16
lies	13
effects	3
reaches	18
disoriented	2
man--	1
here	39
carries	3
bed	16
sets	5
tears	4
doesn't	10
answer	5
dumps	1
palm	4
transfers	1
remember	1
shots	3
mellow	1
seizures	2
happening	3
blow	1
safe	11
13	1
always	4
sometimes	2
recognize	3
take	28
pops	4
mouth	7
swallows	1
clean	5
spilled	1
dinner	5
...you	3
leave	9
alone	2
albino	1
listen	5
damn	1
speciation	2
mutant	12
young	9
forces	3
kill	9
anymore	6
stupid	3
waiting	7
statue	3
liberty	3
hasn't	1
born	4
twenty-five	1
years	5
anywhere	2
14	1
drugs	1
mercifully	1
tugging	1
impossible	1
quilt	3
plan	2
maybe	10
mistake	3
touches	5
tender	1
until--	1
disappointment	1
stung	1
pursuing	1
career	1
"cage	1
fighter"	1
mood	1
bedtime--	1
warm	2
capper	1
assassin	1
hooked	5
barbiturates	1
animal	2
gave	5
did	27
ignores	4
drugged	3
15	1
entombing	1
walks	15
yelling	2
continues	6
drink	7
plus	1
fortified	1
seven	2
nutrients	1
extacine	1
energy	3
vitality	1
series	5
shots--	1
unable	2
sun	7
hitting	2
soot	1
covered	5
listings:	1
pennysaver	2
panther	1
shirtless	1
scarred	2
flexes	1
arthritic	1
knuckles	3
swollen	2
slits	2
moist	1
slow	2
painfully	2
middle	5
lagging	1
claw	6
slicing	1
flowing	1
stumbling	5
wrapped	2
rag	1
drinks	3
hears	11
calling	1
name	10
great	2
scars	1
joints	1
wounds	7
closed	3
visible	1
dresses	2
chauffeur	1
blacks	1
button	6
shirt	3
finds	11
sorting	1
laundry	2
pours	2
coffee	2
fight	6
things	11
16	1
considered	1
nagging	1
repeated	1
observation	2
dose	4
