Word	Count
competition	4
dia	10
muertos	10
hero	2
should	11
sign	5
uh-uh	1
freak	2
scared	3
well	16
fun	1
making	6
considers	2
c'mon	8
always	3
seize	9
moment	21
appraises	1
offers	1
i'll	7
brows	3
rise	1
surprised	3
reaches	14
take	9
instrument	7
regarding	1
holding	7
holy	1
relic	1
spreads	4
fingers	5
across	14
anticipating	2
chord	1
startled	6
impulsively	1
throws	12
mariachi's	1
turns	36
marching	1
supplies	1
market	1
doing	6
um...uh	1
quickly	2
packs	1
rag	1
polishes	1
barrels	1
hits	1
hat	6
waves	2
grandson	13
alone	6
tricks	1
showing	2
gasps	10
shame	2
lords	1
aimed	1
directly	1
between	5
eyes	29
wants	3
part	4
keep	7
scrambles	4
snatching	1
ground	12
hugs	4
protectively	1
bosom	1
pobrecito	1
estas	1
bien	1
peppers	1
kisses	3
releases	1
embrace	1
better	4
than	5
place	4
will	20
sighs	4
gathers	2
seeing	4
flyer	2
pocket	5
follows	11
crawling	2
mariachis	1
yes	11
tio	18
berto	6
ambles	2
sniffing	1
whining	1
treat	2
shoos	1
darts	2
they'll	1
follow	7
forever	6
workshop	2
abuzz	1
whomp	1
plopped	1
stool	1
ready	4
lecture	1
son	4
feels	4
musician's	3
loses	5
grip	2
polishing	1
zips	1
polisher	1
lodges	1
itself	1
roof	4
plaza's	1
foot	4
traffic	1
says	2
what's	8
having	1
show-	1
suspicious	1
squirms	1
deciding	1
whether	1
might	3
curious	1
prima	2
rosa	3
primo	3
abel	5
going	18
do	24
ceiling	3
falls	17
abel's	1
anywhere	2
deposits	1
vamonos	3
flowers	4
arranges	1
give	17
los	10
year	3
ancestors	3
visit	9
us	11
we've	2
put	19
photos	5
spirits	4
cross	10
important	4
loved	7
work	4
bring	6
want	19
sneaking	2
who-knows-where	1
find	15
done	4
dios	4
mio	3
being	5
means	2
faceless	2
mention	2
he's	35
forgotten	8
ta	2
ta-tch	1
tch-tch	2
tch	1
agitated	1
calmese	2
coming	3
okay	20
sadness	1
rises	7
swallows	1
returns	4
hard	6
because	4
care	9
nowhere	3
abuelita's	3
brighten	1
needs	1
unloads	1
rolls	4
leather	2
truckbed	1
nearby	5
sleeps	1
under	7
shade	1
startles	1
awake	2
faint	3
twanging	1
advertising	1
pokes	3
hurry	4
wriggles	2
hideout	1
huddled	1
shoulder	7
gonna	9
someone	6
reveals	1
makeshift	1
cobbled	1
beat	8
soundboard	1
random	1
items	1
china	1
marker	1
sketches	1
nose	5
appears	5
version	2
wish	3
wanted	13
big	6
sloppy	1
grossed-	1
chuckle	1
strums	3
perfecto	1
crawls	2
attic	1
built	1
posters	1
candles	3
songbooks	1
reverence	1
illuminating	1
album	3
cover	2
compares	2
imitates	1
pose	3
smile	9
tv	2
pushes	6
tape	3
vcr	1
scrawled	1
spine	1
montage	1
quien	3
yo	3
amo	3
imparts	1
wisdom	1
may	1
rules	1
must	11
passionately	1
cringes	2
there's	8
watches	6
video	1
repeats	1
melody	2
close	8
reach	4
touch	2
knew	6
true	7
good-natured	2
nuestra	1
iglesia	1
faith	3
sister	3
padre	3
listen	13
power	2
change	3
himself	10
underestimate	1
intertwines	1
melodies	1
set	4
forward	13
permission	2
asking	2
mustn't	2
pass	4
ends	3
interview	1
senor	7
hand	22
grab	6
tight	3
words	6
sink	1
gotta	10
wags	2
tail	2
panting	1
happily	3
kills	1
children	2
sparklers	1
opens	6
doors	5
begun	2
courtyard	8
toddler	2
cousins	2
haphazardly	1
scatter	2
baskets	1
corrects	1
creating	1
clear	3
lost	5
enjoy	6
drinks	3
si	6
teaches	1
sneak	1
drop	3
sidewalk	2
clutching	1
suddenly	28
round	1
carrying	2
storage	1
avoid	2
adults	2
behind	12
jump	1
sees	12
mijos	1
