Word	Count
pictures	2
text	1
books	7
play	9
baseball	6
dances	1
grind	2
can't	27
bring	2
trigger	1
know	59
son	15
may	5
work	8
trust	3
point	5
believes	1
gospel	1
bell	1
doors	7
fling	2
rowdy	1
6th	1
7th	1
8th	1
graders	1
spill	3
hurled	1
trash	3
papers	1
strewn	1
recess	1
yard	2
summer	8
officially	3
commenced	1
swept	2
among	2
madness	1
handsome	1
gangly	1
red-headed	1
memory	1
fresh	1
dorky	1
friends	14
talking	5
tidy	1
jewish	2
kid	6
who	46
dresses	2
mini-accountant;	1
book	1
video	2
game	4
bug-eye	1
so	30
how's	1
suckas	1
flips	8
ceremony	1
bar	16
mitzvah	7
makes	5
man	20
kind	3
read	3
verses	1
seventh	1
dimensional	1
torah	4
stan	79
slay	1
ronin	1
master	1
pit	1
death	5
wins	1
schlong	2
six	5
howls	2
mom's	2
cosmo	1
marie	1
claire	1
vogue	1
perfumed	1
3-d	1
"motor	1
boats"	1
air	5
front	27
angle	5
group	7
fashionably	1
dressed	2
girls	6
nearby	2
bigger	3
heavier	1
notices	11
someone	10
girl	19
#1	3
there's	23
ho-bag	1
lovely	1
green-gray	1
clothes	1
nice	2
popular	2
holds	18
high	3
#2	1
eighth	1
grade	1
boys	43
talk	5
about	44
say	17
best	3
probably	3
way	34
bjs	1
afford	1
wears	3
give	5
gretta	1
beverly	55
sees	37
gretta's	1
fingers	5
trouble	3
ducks	2
hey	8
cock	1
breath	6
jesus	3
property	1
scanning	1
throngs	1
departing	2
desperate	2
lawn	2
marquee	1
reads:	3
remember	3
curfew	2
7	2
p.m	1
police	13
department	2
think	27
thinking	6
maybe	6
expects	1
yeah	9
dorsey	9
coen's	3
been	20
living	4
home	17
ec	1
these	11
three	6
weeks	1
they're	7
find	14
ditch	1
decomposed	2
covered	6
worms	1
maggots	1
smelling	1
mom's--	1
sadistic	1
tower	1
muscle	1
fall	12
comics	1
magazines	1
pack	7
sorry	8
chode	1
didn't	13
see	62
travis	85
kicks	6
thug	1
sidekicks	1
laugh:	1
giggly	1
fire-starting	1
sociopath	1
scrap	2
scab	1
dog	2
type	2
victor	36
stan's	4
yarmulka	1
tosses	3
bus	2
frisbee	1
fuck	6
nut	1
snatch	21
burps	1
eddie's	12
eddie	105
wilts	1
under	18
smell	4
scoops	1
remains	4
richie's	3
smashed	1
suck	1
bowers	28
goons	2
turn	12
glare	1
menacingly	1
everyone	11
waiting	7
respond	2
shut	16
free	6
ride	1
year	2
ride's	1
denbrough	5
summer's	1
hurt	14
train	2
faggot	1
let's	10
roll	1
lard	1
ass	6
"lard	1
ass"	1
question	1
coast	1
clear	4
oversized	1
sweatshirt	2
pair	5
girly	1
high-	2
waisted	1
blue	3
jeans	2
soooo	1
secret	1
password	2
aside	1
tip-toes	2
lighting	2
cigarette	3
pro	1
"sorry"'s	1
much	17
"kittyhawk,"	1
that's	26
good	17
ballyhoo	1
riproar	1
barnburner	1
smiles	10
offers	1
ben	118
smoke	9
refuses	1
shrugs	3
blows	2
ring	1
worried	1
band	1
a-holes	1
hassling	1
saw	16
leave	10
new	3
i'm--	1
marsh	32
quick	2
embarrassment	1
`cuz	1
social	1
studies	1
together	10
same	8
class	2
constitution	1
test	1
bev	33
knowingly	1
likes	2
slipped	2
shower	2
what's	23
excuse	2
fell	1
boxes	2
donuts	1
laughs	2
well	11
sosh	1
"get	1
laid	3
shade."	1
uh	5
"stay	1
cool."	1
totally	2
smitten	1
k.i.t	1
dust	5
collects	1
stale	1
quiet	4
suffocates	1
house	24
ticking	1
clock	1
distant	1
yelling	1
children	4
laces	1
shoes	3
leaves	2
champ	1
wants	6
doesn't	17
have	50
words	3
articulate	1
jumping	5
rounding	1
corner	21
catatonic	2
mother	10
silhouetted	1
midday	1
sitting	2
staring	3
blankly	2
hi	2
ma	5
growing	1
accustomed	1
parent's	1
lack	1
communication	1
unopened	1
mail	1
dining	1
table	12
report	3
card	3
a's	1
limply	1
acknowledge	1
instead	5
gets	18
slides	5
scramble	1
feral	1
animals	1
enormous	2
300-pound	1
sits	12
mom	26
mrs	37
kaspbrak	19
ma'am	5
raid	1
kitchen	5
stuffing	2
capri	1
suns	1
ding	1
dongs	1
whatever	8
snacks	2
backpacks	2
calls	3
eddie-bear	6
elbows	2
backyard	1
k	2
badminton	1
set	2
rolling	4
grass	5
sweetie	1
especially	3
cut	4
allergies	4
cute	4
wiggles	1
fat	6
toes	2
mortified	1
cutest	1
miss	4
america	2
seriously	8
bye	1
came	3
blow	5
rich	1
speed	2
library	2
green	1
globes	1
curving	1
iron	4
staircases	1
shadowy	2
charm	1
starret	6
vacation	1
you'd	1
take	22
break	3
it's--	1
glances	1
her:	1
"body	1
found	9
canal	14
coen	2
youth	1
borton	22
announces."	1
safe	3
inspiring	1
sweetly	1
large	3
terrible	2
disappearing	4
business	2
should	9
outside	15
having	2
fun	4
starts	26
stamping	1
chuchunp	2
i'll	16
try	6
chuchump	3
anyway	4
reading	5
history	6
place	15
many	1
spooky	2
things	9
have--	1
one-armed	4
wearing	1
u.s.s	2
indianapolis	2
cap	4
where's	2
children's	1
section	1
stack	1
fridge	4
jug	1
margarine	1
half-molded	1
bread	1
suspect	1
milk	3
sniffs	1
sips	1
leaving	5
wholesome	1
mustache	1
upper	1
lip	1
faded	2
studying	2
mommy	2
sounds	5
might	7
sedatives	1
had	10
monthly	1
yet	3
legs	5
disgusted	1
shrinks	1
no	72
soon	3
figure	2
grasping	1
clammy	1
palms	3
beverly's	9
happens	1
once	3
every	5
27	1
days	4
bleed	3
most	3
end	13
squeamishly	1
remove	1
mother's	2
harder	3
pulls	19
onto	18
pharmacy	1
today	3
prepared	1
buy	1
bloody	10
tampon	1
string	5
rabbi	11
repeating	1
learning	1
pronunciation	1
lose	3
ornate	1
beams	2
fingering	1
windows	5
paying	2
sir	4
pay	2
important	1
becoming	2
taking	8
very	6
removes	1
thoughts	4
carry	2
opportunity	2
stanley	17
nods	11
god	13
bless	1
never	9
realize	3
squares	1
holding	4
shoulders	4
again	23
tear	3
close	7
pressed	1
against	22
hardly	1
pee	3
cries	3
please	10
distances	1
deep	8
lets	5
molding	1
stone	10
synogogue	4
rounded	1
staircase	3
spirals	1
deeper	6
foundations	1
building	7
bathroom	6
mikveh--a	1
cleansing	1
during	2
monthlies	1
drips	2
lit	5
spare	1
bulb	1
knowing	3
unzips	1
pants	5
relieve	1
