Word	Count
odd	3
very	16
different	3
nothing	10
yes	25
war	4
hero	4
clad	2
dazzling	1
gold	3
breastplate	1
thing	8
bigger	1
muscles	1
ego	1
strapped	1
saddle	2
musket	1
spoils	1
hunt:	1
rabbit	1
fox	1
fowl	1
riding	2
beside	3
gaston's	10
long-suffering	1
aide-de-	1
spyglass	1
gaston	117
spots	4
lefou	37
future	3
best	3
well-read	1
you're	16
athletically	1
inclined	1
know	25
can	44
argumentative	1
exactly	3
needs	2
you've	7
i've	20
been	24
missing	3
met	5
gives	4
sense	1
je	1
ne	1
sais	1
quoi	1
don't	33
ride	3
gates	5
square	4
geese	1
flock	1
around	33
feet	11
seeming	1
right	18
moment	10
saw	5
said	5
gorgeous	2
here	19
there's	16
plans	1
woo	2
marry	7
passes	4
lasses	6
try	8
catch	2
eye	6
cute	1
still	19
hardly	2
breathing	3
such	3
strong	6
brute	1
dismounts	4
get	20
splattered	1
mud	1
horse's	2
hooves	5
shoots	2
whispers:	2
gonna	1
happen	1
ladies	1
noticing	1
crossing	1
starts	6
pursuit	3
flowers	2
perfume	1
stall	1
bouquet	1
make	10
market:	1
pardon	3
mais	1
call	5
bacon	1
lovely	4
cheese	2
...ten	1
yards	1
...one	1
pound	1
`scuse	1
i'll	20
knife	1
please	11
those	9
fish	2
stale	1
smell	2
image	3
swells	1
whole	3
singing	3
who's	11
mademoiselle	7
pity	1
sin	1
doesn't	18
quite	2
really	9
slightly	2
finally	9
catches	4
wonderful	3
dinner	16
table	26
shall	4
join	4
evening	2
sorry	10
tonight	6
busy	1
mortified	1
smile	12
approaches	11
play	9
hard	4
sweetest	1
prey	1
appealing	1
hasn't	2
made	5
fool	5
gain	1
favor	1
dignity	2
outrageously	1
attractive	1
standing	4
tavern	4
give	8
saunters	1
over	21
hears	4
tinkle	1
sweet	4
box	7
tune	3
wafting	1
father's	6
basement	1
workshop	1
descends	4
dusty	3
work	5
sunlight	5
watches	9
sings	1
along	3
theme	1
does	11
forever	5
story	2
die	3
hold	6
maurice	86
tinkers	1
gears	2
depicts	1
artist	2
parisian	1
garret	2
painting	4
wife's	1
portrait	2
holds	9
baby	2
sometimes	1
happiness	1
captured	1
somehow	2
place	15
stand	9
lives	2
hearts	3
word	5
"screwdriver"	1
tweezers	1
hammer	1
actually	6
tinkering	1
other	14
boxes	4
art	1
depicting	1
famous	1
landmarks	1
papa	8
do	37
think	12
daughter	7
idea	5
talk	5
small-minded	1
also	2
safe	5
line	2
argument	2
much	16
paris	6
knew	2
daring	1
ahead	4
mocked	1
until	12
themselves	1
imitating	1
turns	33
change	8
subject	2
looking	5
belle's	18
eagerness	1
relents	1
fearless	2
closes	8
carefully	2
loads	1
onto	28
wagon	16
tends	1
family's	1
glue	1
horse	6
philippe	25
climbs	13
down	69
ask	6
year	2
tomorrow	2
rides	3
warmth	2
concern	2
stay	6
design	2
sketches	1
workbench	1
features	2
model	1
`washing	1
machine'	1
prototype	1
miniature	1
barrel	5
position	2
fastens	1
rope	5
leather	2
strap	2
shaves	1
chips	3
block	4
soap	3
collects	2
sack	1
rushes	6
tosses	5
empty	5
fountain	2
bobs	1
its	12
side	8
tying	1
end	9
mule's	1
harness	3
sets	4
walking	5
doing	5
laundry	2
points	4
rotating	1
resembles	2
early	1
whirlpool	1
machine	3
quietly	4
after	15
find	19
washer	2
staring	2
speechless	2
sudsy	2
sitting	2
teaching	2
blue	6
bird	1
flies	2
...over	1
wood	2
earth	1
enough	7
locks	2
headmaster	3
seethes	2
hauled	1
dumped	1
ground	6
dirt	1
poised	1
gawking	1
shakes	3
laughs	4
absolutely	1
smitten	1
wildest	1
deserves	1
least	7
children	6
reverse	1
angle	1
reveals	2
addressing	1
reflection	2
am	12
catching	1
bad	5
certain	4
damsel	1
distress	1
done	5
yet	3
neither	2
follows	6
cottage	2
heard	5
trouble	1
liked	1
either	2
advice	2
though	2
going	7
trust	2
kind	6
we're	12
pursuing	1
garden	3
trampling	1
cabbages	1
wanted	3
teach	2
child	2
should	6
yourself	2
own	10
ready	7
maybe	5
haven't	2
man	9
take	13
changed	1
door	48
close	11
happy	5
happens	3
spinsters	1
fathers	1
street	1
agathe	15
spinster	1
30's	1
dirty	2
homeless	1
rattling	1
cup:	1
"alms	1
poor?"	1
beg	1
scraps	1
simple	2
folk	1
better	8
might	9
farm	1
keeps	2
gallant	1
plastered	1
shuts	2
leave	14
imagine	1
boorish	1
brainless	1
home	12
thinks	2
escape	9
madame	8
sir	2
guarantee	1
races	5
hills	1
outskirts	1
reaches	15
point	2
spread	3
beneath	4
adventure	1
wide	3
somewhere	3
grand	5
understand	5
they've	1
planned	1
rays	1
fade	3
rise	8
forest	3
distance	4
skies	2
rage	5
swirling	2
streak	1
lightning	5
sky	4
flashes	3
worried	2
urges	2
woods	12
aren't	2
wish	4
recognized	1
darker	1
withered	3
tree	8
elderly	1
person's	1
struck	1
whoa	2
splits	1
half	3
falling	4
road	2
path	6
whinnies	2
nervously	2
hmm	1
walk	6
blocked	1
snow	9
cover	2
snorts	2
bit	4
june	2
entered	1
whirling	2
dusting	3
clippity-clop	1
echo	2
stillness	1
white	6
wolf	6
roars	4
bushes	3
barely	6
gaze	5
darting	1
notices	8
wolves	18
icy	1
ledge	1
keep	4
pace	1
massing	1
overrun	1
hurry	1
rickety	1
buckle	1
loose	4
leap	8
front	7
comes	5
undone	1
tipping	1
chest	3
smashes	3
face-to-face	2
snarling	1
scarred	1
alpha	3
terrified	3
sliding	2
snowy	2
ridge	1
lands	10
draw	2
near	1
speed	3
skid	2
stop	13
howls	1
turning	1
yelps	2
fear	3
stares	5
open-mouth	1
awe	1
beast's	20
grey	2
edifice	1
seemingly	1
growing	2
stone	10
reaching	5
troubled	2
feels	3
hiding	2
saved	2
they'll	3
else	1
colonnade	4
beyond	3
stables	1
swinging	4
lamp	1
inviting	1
tired	2
traveler	1
strokes	3
philippe's	7
neck	5
water	4
fresh	3
hay	1
friend	6
warily	1
peers	2
intimidating	2
while	7
pay	1
respects	1
unwitting	1
host	2
whoever	1
leaves	1
uneasily	1
statue	1
cautiously	3
row	1
torches	4
held	3
sculpted	1
iron	3
life-like	1
double-take	1
hm	1
hello	6
anyone	4
silence	5
illuminate	1
once-elegant	1
space	2
fallen	3
disrepair	1
forgive	4
mean	3
intrude	1
puts	8
hat	1
entrance	1
seeing	4
shake	3
tables	1
chairs	3
duster	2
mantle	2
sit	2
upper-lip	1
shut	3
idiot	1
curious	1
leaning	1
mm	2
extraordinary	1
inspecting	1
eerie	4
exits	2
taste	3
talking	5
walks	4
cavernous	1
adjust	1
realizes	3
vast	4
scene	1
joy	2
knows	1
solemn	2
oops	1
crosses	4
crackling	1
fire	3
speaking	1
unseen	1
wherever	1
warm	5
myself	3
warms	2
frozen	4
rubs	2
together	6
heat	1
backside	1
clink	1
silverware	1
adjoining	1
dining	8
banquet	1
meal	2
famished	1
tears	8
hunk	1
devours	1
ravenously	1
wash	2
food	3
cup	4
tea	15
slides	3
calmly	1
mom	1
wasn't	4
supposed	1
scary	2
chews	1
benevolently	2
bolts	2
sane	1
person	2
backs	4
bows	4
calls	2
shadows	6
cannot	2
hospitality	1
kindness	1
flash	1
briefly	1
illuminates	2
beastly	1
shape	4
roses	1
checking	1
followed	3
nervous	1
leaving	6
handed	2
promised	1
glimpses	3
atop	1
taloned	1
swishing	1
tail	1
sensing	1
danger	4
spies	1
perfect	8
among	4
others	4
enraged	1
wounded	4
ow	2
drops	12
stumbling	1
cast	1
breaks	6
terror	3
flees	1
charging	1
first	9
whisper	2
dawn	2
bursts	1
thunders	3
sun	12
horizon	2
whinny	1
disturbs	2
thirsty	1
exhausted	1
drinks	3
deeply	1
trough	1
happened	6
torn	3
straps	1
tattered	1
reins	2
dread	4
darts	2
seeps	1
thick	5
branches	2
lighting	1
gallops	2
coming	15
maurice's	2
tipped	1
scattered	1
mix	1
apprehension	1
determination	2
jaw	2
gallop	2
brings	5
finding	4
branch	3
wields	3
club	6
bravely	1
high	6
defend	1
eases	1
atmosphere	1
presses	1
creepy	1
dragon	1
statues	1
staircase	18
seem	4
watching	4
stretch	1
impossibly	1
long	15
hallways	1
cogsworth	47
break	6
spot	3
voices	1
cough	2
echoes	1
shudders	1
labyrinth	1
stairs	11
prison	3
tower	5
grated	1
grate	1
terribly	2
pale	2
sick	1
coughing	2
clutches	1
alive	7
finds	5
spins	6
quickly	7
strike	4
jumps	10
circles	1
father	23
thief	3
liar	2
stole	1
guilt	1
asked	1
punish	1
apparently	1
pick	2
flower	1
sentence	1
received	1
eternal	1
damnation	1
merely	1
locking	1
lumiere	65
thrusts	1
candle	3
illuminating	1
horned	1
clearly	3
seems	4
human	10
soulful	1
flicked	1
pain	5
revulsion	1
choose	1
lose	3
terrible	4
alright	1
minute	4
alone	6
respond	1
cold-hearted	1
allow	1
kiss	6
goodbye	2
spare	1
intrigued	1
defiance	1
moves	19
massive	7
bracing	2
reached	1
pull	4
lever	1
unlocking	2
embraces	1
listen	2
live	2
forget	2
pulls	8
promise	3
pivots	1
swings	7
slams	3
trips	1
giving	3
second	5
lock	5
took	4
drags	2
hurt	6
latticework	1
disappear	2
corridor	1
carry	1
spiral	5
help	17
slumps	1
floor	12
36	2
omitted	14
37	2
38	2
huddles	1
cell	5
intrusion	1
sent	3
escort	1
wipes	1
stool	4
rarrr	1
gets	5
dramatic	2
bounds	2
raising	1
hit	2
grown	2
instead	2
wave	2
`allo	1
ahhh	1
mouse	1
bashes	1
grunts	1
clatters	2
candles	5
extinguished	1
illuminated	1
arm	8
rudimentary	1
"face"	1
quality	1
main	2
rakish	1
appears	4
course	10
household	2
demand	1
put	5
officially	1
freaked	1
retreats	3
search	2
weapon	2
cogsworth:	1
or	12
re-emerging	1
miss	5
across	13
walkway	3
dart	1
route	1
impressions	1
startled	3
why	13
enormous	2
difference	1
consider	2
service	2
except	2
throws	3
`would-you-please-shut-up'	1
what's	5
uh	2
storage	1
spooky	1
east	3
watch	4
step	4
s'il	1
vous	1
plait	1
bedroom	5
anticipating	1
worse	2
squalor	1
welcome	2
modest	1
comfortable	2
ceiling	4
clouds	1
large	8
dresser	2
bed	10
opulence	1
finest	1
leaps	10
dust	7
dear	10
expecting	1
surfaces	1
quick	4
enchante	1
worry	4
spotless	1
whose	4
burn	1
hotter	1
speaks	2
sexy	1
french	2
accent	1
plan	2
yours	4
dangerous	3
risk	1
anything	3
plumette	22
embrace	4
burned	1
weak	1
clears	2
throat	2
creatures	1
puzzled	2
um	1
hair	4
loud	5
snore	2
bursting	1
operatic	1
"laaaaaa!"	1
shrieks	1
alarmed	2
wardrobe	4
meet	4
de	5
garderobe	17
singer	1
awake	2
rrr-	1
ah	5
dress	4
garderobe's	3
gilded	1
stroke	1
shoulder	6
pretty	3
proud	1
canvas	1
worthy	1
princess	2
nonsense	2
let's	6
drawers	1
doors	7
few	3
moths	1
fly	4
embarrassing	1
hoop	1
proceeds	1
create	2
outfit	1
using	2
fabric	5
pinking-shear	1
froufrou	16
piano	2
runs	12
barking	1
mama	7
tugs	1
helping	1
complete	1
perfetta	1
game	2
subtle	1
understated	1
whistle	2
beloved	2
send	2
instantly	1
asleep	1
beat	5
hell	2
ducks	2
crawls	1
underneath	2
mind:	1
100	1
foot	3
drop	2
leading	3
taking	4
lamplighter	1
hear	7
fiddle	1
inn	4
amidst	1
animal	2
antlers	3
drunken	2
latest	1
